07/02/2024 00:06:15, User, Sign-In, allisa
07/02/2024 00:08:34, Database, Successfully Updated User Details, Allisa
07/02/2024 00:11:06, User, Sign-Out, Allisa
07/02/2024 00:11:11, User, Sign-In, Allisa
07/02/2024 00:31:33, Database, Successfully Updated User 'arvinarar', Allisa
07/02/2024 00:36:18, Database, Successfully Updated User 'admin', Allisa
07/02/2024 00:36:27, User, Sign-Out, Allisa
07/02/2024 00:36:32, User, Sign-In, admin
07/02/2024 00:37:02, User, Sign-Out, admin
07/02/2024 00:37:10, User, Sign-In, arvinarar
07/02/2024 00:37:46, User, Sign-Out, arvinarar
07/02/2024 00:37:54, User, Sign-In, Allisa
07/02/2024 01:29:27, Database, Successfully Deleted User 'admin', Allisa
07/02/2024 01:34:18, Database, Successfully Created User 'Admin', Allisa
07/02/2024 01:35:36, Database, Successfully Created User 'Registrar', Allisa
07/02/2024 01:36:46, Database, Successfully Created User 'Trainor', Allisa
07/02/2024 01:36:56, User, Sign-Out, Allisa
07/02/2024 01:37:01, User, Sign-In, Admin
07/02/2024 01:37:10, Database, Successfully Deleted User 'Allisa', Admin
07/02/2024 01:37:16, Database, Successfully Deleted User 'arvinarar', Admin
